== Suppressed Messages ==
# Warnings due to validators inability to validate RxNorm codes from us-core-medication-codes.   These have been manually validated.
WARNING: MedicationKnowledge/FormularyDrugV3001: MedicationKnowledge.code: [Unable to determine whether the provided codes are in the value set http://hl7.org/fhir/us/core/ValueSet/us-core-medication-codes because the value set or code system is not known to the validator]
WARNING: MedicationKnowledge/FormularyDrugV3002: MedicationKnowledge.code: [Unable to determine whether the provided codes are in the value set http://hl7.org/fhir/us/core/ValueSet/us-core-medication-codes because the value set or code system is not known to the validator]
WARNING: MedicationKnowledge/cmsip9: MedicationKnowledge.code: [Unable to determine whether the provided codes are in the value set http://hl7.org/fhir/us/core/ValueSet/us-core-medication-codes because the value set or code system is not known to the validator]
WARNING: MedicationKnowledge/formularydrugV1002: MedicationKnowledge.code: [Unable to determine whether the provided codes are in the value set http://hl7.org/fhir/us/core/ValueSet/us-core-medication-codes because the value set or code system is not known to the validator]
# All IG-defined examples are validated against correct profile
INFORMATION: List/CoveragePlanV3001: List: Validate resource against profile http://hl7.org/fhir/us/davinci-drug-formulary/StructureDefinition/usdf-CoveragePlan
INFORMATION: List/CoveragePlanV3002: List: Validate resource against profile http://hl7.org/fhir/us/davinci-drug-formulary/StructureDefinition/usdf-CoveragePlan
INFORMATION: List/CoveragePlanV3004t: List: Validate resource against profile http://hl7.org/fhir/us/davinci-drug-formulary/StructureDefinition/usdf-CoveragePlan
INFORMATION: List/covplanV1002: List: Validate resource against profile http://hl7.org/fhir/us/davinci-drug-formulary/StructureDefinition/usdf-CoveragePlan
INFORMATION: MedicationKnowledge/FormularyDrugV3001: MedicationKnowledge: Validate resource against profile http://hl7.org/fhir/us/davinci-drug-formulary/StructureDefinition/usdf-FormularyDrug
INFORMATION: MedicationKnowledge/FormularyDrugV3002: MedicationKnowledge: Validate resource against profile http://hl7.org/fhir/us/davinci-drug-formulary/StructureDefinition/usdf-FormularyDrug
INFORMATION: MedicationKnowledge/cmsip9: MedicationKnowledge: Validate resource against profile http://hl7.org/fhir/us/davinci-drug-formulary/StructureDefinition/usdf-FormularyDrug
INFORMATION: MedicationKnowledge/formularydrugV1002: MedicationKnowledge: Validate resource against profile http://hl7.org/fhir/us/davinci-drug-formulary/StructureDefinition/usdf-FormularyDrug
# All Standard FHIR resources are validated against correct profile 
INFORMATION: ImplementationGuide/hl7.fhir.us.davinci-drug-formulary: ImplementationGuide: Validate resource against profile http://hl7.org/fhir/StructureDefinition/ImplementationGuide
INFORMATION: StructureDefinition/usdf-DrugAlternatives-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-DrugTierDefinition-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-DrugTierID-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-SupportContact-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-FormularyURL-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-MarketingURL-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-Network-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-PlanID-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-PlanIDType-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-PriorAuthorization-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
INFORMATION: StructureDefinition/usdf-QuantityLimit-extension: StructureDefinition: Validate resource against profile http://hl7.org/fhir/StructureDefinition/StructureDefinition
